,,
No,QUESTION,ANSWER
1,"Universal Containers (UC) has a queue that is used for managing tasks that need to be worked by the UC customer support team. The same team will now be working some of UC's Cases.

Which two options should the administrator use to help the support team?

Choose 2 answers

A. Configure a flow to assign the cases to the queue.
B. Add Cases to the existing queue as available object.
C. Use assignment rules to set the queue as the owner of the case.
D. Create a new queue and add Cases as an available object.
","B, C"
2,"Cloud Kicks wants to update the screen flow so that if the High Value Customer flag is set to true, the first screen is skipped and the user is directed to the second screen.                                                                                                                                                                                                                                     

How should  administrator configure the decision element?
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A. Use the contains operator and (!$GlobalConstant.False) as the value.
B. Use the equals operator and {!$GlobalConstant.True} as the value.
C. Use the equals operator and the High Value Customer value.
D. Use the contains operator and the value ""High Value Customer"".",B
3,"The sales team at Ursa Major Solar has asked the administrator to automate an outbound message.

What should the administrator utilize to satisfy the request?

A. Process Builder
B. Task Assignment
C. Recorded-triggered flow
D. Case Auto-Response Rule",A
4,"Ursa Solar Major is evaluating Salesforce for its service team and would like to know what objects were available out of the box.

Which three of the standard objects are available to an administrator considering a support use case?

Choose 3 answers

A. Account
B. Ticket
C. Request
D. Contract
E. Case
","A, D, E"
5,"DreamHouse Realty has an approval process. A manager attempts to approve the record but receives an error.

What should the administrator review to troubleshoot this request?

A. Review the page layout to ensure the fields updated in the process are visible.
B. Add a delegated approver for the next approver in the process.
C. Update the field-level security to view on fields that are updated in the process.
D. Check if the user in the next approver is inactive or missing.
",D
6,"The administrator at Cloud Kicks has been told that users are unable to add repeating tasks in Salesforce.

Which two solutions should the administrator use to ensure users are able to do this?

Choose 2 answers

A. Enable Creation of Recurring Tasks in Activity Settings
B. Disable Shared Activities
C. Add Create Recurring Series of Tasks field on page layouts
D. Turn on Task Notifications Service","A, C"
7,"A sales rep has a list of 300 accounts with contacts that they want to upload at one time.

Which tool should the administrator utilize to import the records to Salesforce?

A. Dataloader.io
B. Data Loader
C. Data Import Wizard
D. Manual Import",C 
8,"The administrator at AW Computing wants Account details, related lists, and Chatter feeds to each appear on separate tabs when viewing an Account.

Which type of page should the administrator create?

A. Lightning record page
B. Lightning page tab
C. Lightning page component
D. Lightning app page
",A
9,"Which tool should an administrator use to identify and fix potential session vulnerabilities?

A. Field History Tracking
B. Organization-Wide Defaults
C. Security Health Check
D. Setup Audit Trail
",C
10,"Sales and Customer Care at Ursa Major Solar need to see different fields on the Case related list from the Account record. Sales users want to see Case created date and status while Customer Care would like to see owner, status, and contact.

What should the administrator use to achieve this?

A. Compact Layout Editor
B. Search Layout Editor
C. Related Lookup Filters
D. Page Layout Editor
",D
11,"The administrator at Ursa Major Solar has created a custom report type and bullt a report for the sales operations team. However, none of the users are able to access the report.

Which two options could cause this issue?

Choose 2 answers

A. The custom report type is in development.
B. The report is saved in a private folder.
C. The org has reached its limit for custom report types.
D. The user's profile is missing View access.","A, B"
12,"Northern Trail Outfitters wants to calculate how much revenue has been generated for each of its marketing campaigns.

How should an administrator deliver this information?

A. Add a Total Value field on Campaign and use a workflow rule to update the value when an opportunity is won.
B. Create a roll-up summary field on Opportunity to Campaign.
C. Design a standard Campaign report and add the Value Won Opportunities in Campaign field.
D. Perform periodic data jobs to update campaign records.",C
13,"The call center manager at Ursa Major Solar wants to provide agents with a case dashboard that can be drilled down by case origin, status, and owner.

What should an administrator add to the dashboard to fulfill the request?

A. Combination Chart
B. Dashboard Filter
C. Bucket Column
D. Dashboard Component",B
14,"Cloud Kicks needs to change the owner of a case when it has been open for more than 7 days.

How should the administrator complete this requirement?

A. Assignment Rules
B. Validation Rules
C. Escalation Rules
D. Auto-Response Rules",C
15,"The Support team at Ursa Major Solar prefers using split list views on the case homepage. Occasionally, the team views shipments from another support application.

What should the administrator configure to allow the team to use the split list view?

A. Filter by a single shipment record type in the list view.
B. Split views are only available on standard objects.
C. Include the Shipments tab on the app's navigation bar.
D. Add the Manage List Views permission for support users.",C
16,"Ursa Major Solar has a path on Case. The company wants to require its users to follow the status values as they are on the path. Agents should be prohibited from reverting the Case back to a previous status.

Which feature should an administrator use to fulfill this request?

A. Predefined Field Values
B. Global Value Picklists
C. Dependent Picklists
D. Validation Rules",D
17,"Northern Trail Outfitters has the Case object set to private. The support manager raised a concern that reps have a broader view of data than expected and can see all cases on their group's dashboards.

What could be causing reps to have inappropriate access to data on dashboards?

A. Public Dashboards
B. Dashboard's running user
C. Dashboard Subscriptions
D. Dashboard Filters
",B
18,"An analytics user at Cloud Kicks needs Read, Create, and Edit access for objects and should be restricted from deleting any records.

What should the administrator do to meet this requirement?

A. Create and assign a custom profile with Delete access removed for each object.
B. Assign the standard System Administrator profile to the analytics user.
C. Create and assign a permission set that includes Read, Create, and Edit access.
D. Give the user View All access and assign them to the highest role in the role hierarchy.",A
19,"Ursa Major Solar has service level agreements (SLA) that are routed to support queues. Cases that meet the 24 hour SLA need to be automatically re-assigned to the next tier queue.

Which feature should be used to fulfill this requirement?

A. Einstein Case Routing
B. Case assignment rule
C. Auto-response rule
D. Case escalation rule
",D
20,"Universal Containers has a private sharing model for Opportunities and uses Opportunity teams. Criteria-based sharing rules are not used. A sales rep at Universal Containers leaves the company and their user record is deactivated. The rep is later rehired in the same role. The administrator activates the old user record. The user is added to the same default Opportunity teams but is no longer able to see the same records the user worked on before leaving the company.

What is the likely cause?

A. The record type of the Opportunity records was changed.
B. Permission sets were removed when the user was deactivated.
C. The records were manually shared with the user.
D. The stage of the Opportunity records was changed to closed lost.
",C
21,"What are two considerations an administrator should keep in mind when working with Salesforce objects?

Choose 2 answers

A. Custom and standard objects have standard fields.
B. A new standard object can be created.
C. Only standard objects support master-detail relationships.
D. Standard objects are included with Salesforce.
","A, D"
22,"An administrator has been asked to change the data type of an auto number to a text field.

What should the administrator be aware of before changing the field?

A. Existing field values will remain unchanged.
B. Existing field values will be converted.
C. Existing Auto Number field to Text is prevented.
D. Existing field values will be deleted.
",C
23,"An administrator at Universal Containers needs a simple way to trigger an alert to the director of sales when opportunities reach an amount of $500,000.

What should the administrator configure to meet this requirement?

A. Enable Opportunity Update Reminders.
B. Opportunity warnings in Kanban View
C. Set up Big Deal Alerts for the amount.
D. Key Deals component on the homepage
",C
24,"An administrator has reviewed an upcoming critical update.

How should the administrator proceed with activation of the critical update?

A. Activate the critical update in a sandbox.
B. Allow the critical update to auto-activate in a sandbox.
C. Activate the critical update in production.
D. Allow the critical update to auto-activate.
",A
25,"Cloud Kicks has a customer success agent going on leave and needs to change ownership on multiple cases.

Which two users are able to fulfill this request?

Choose 2 answers

A. A user with the System Administrator profile.
B. A user with a manager role above the agent.
C. A user with the Manage Cases permission.
D. A user with Read permission on the account.
","A, C"
26,"An administrator creates a custom text area field on the Account object and adds it to the service team's page layout. The service team manager loves the addition of this field and wants it to appear in the highlights panel so that the service reps can quickly find it when on the Account page.

How should the administrator accomplish this?

A. Make the field required and move it to the top of the page.
B. In the Account object manager, create a custom compact layout.
C. Create a new page layout and a new section titled highlights panel.
D. From the page layout editor, drag the field to the highlights panel.
",B
27,"Cloud Kicks (CK) has a new administrator who is asked to put together a memo detailing Salesforce usage to budget for upcoming license purchases.

Where should the administrator go to find out what type of licenses CK has purchased and how many are available?

A. User licenses related list in company information
B. Search for licenses types in setup
C. User management settings in setup
D. Usage-based entitlements related list in company information
",A
28,"DreamHouse Realty wants to offer a form on its Experience Cloud site where inspectors will submit findings from a property inspection.

Which feature should an administrator place on the page to fulfill this requirement?

A. Autolaunched Flow
B. Related List
C. Record Detail
D. Screen Flow
",D
29,"The marketing team at Ursa Major Solar wants to send a personalized email whenever a lead fills out the web-to-lead form on their website. They want to send different messages based on the Lead Industry field value.

What should an administrator configure to meet this requirement?

A. Use a validation rule to trigger workflow to email the lead.
B. Add a public group and Process Builder to email the lead.
C. Create an assignment rule to email the lead.
D. Configure an auto-response rule to email the lead.
",D
30,"The administrator for AW Computing is working with a user who is having trouble logging in to Salesforce.

What should the administrator do to identify why the user is unable to log in?

A. Check the attempted logins by running the setup audit trail.
B. Pull the password history to ensure the password policy was followed.
C. Reset the security token for the profile.
D. Review the login history for the user.
",D
31,"Which setting on a profile makes a tab hidden in the All App Launcher or visible in any app, but still allows a user to view records that wouid normally be found under this tab?

A. Object Permissions
B. App Permissions
C. Tab Settings
D. Org-wide Defaults
",C
32,"DreamHouse Realty needs to use consistent picklist values in the Category field on Accounts and Cases, with values respective to record types.

Which two features should the administrator use to fulfill this requirement?

Choose 2 answers

A. Custom picklist
B. Multi-select picklist
C. Global picklist
D. Dependent picklist
","C, D"
33,"An administrator at Cloud Kicks wants to deactivate a user who has left the company.

What are two reasons that would prevent a user from being deactivated?

Choose 2 answers

A. The user is the sole recipient of a workflow email alert.
B. The user is the highest role in the role hierarchy.
C. The user is in a custom hierarchy field.
D. The user is part of a territory hierarchy.
","A, C"
34,"Northern Trail Outfitters wants to know the average stage duration for all closed opportunities.

How should an administrator support this request?

A. Run the Opportunity Stage Duration report.
B. Add formula fields to track Stages on each Opportunity.
C. Refresh weekly reporting shapshots for Closed Opportunities.
D. Use Process Builder to capture the daily average on each Opportunity.
",A
35,"When a Cloud Kicks opportunity closes, the company would like to automatically create a renewal opportunity.

What automation option should an administrator use to accomplish this request?

A. Approval process
B. Validation rule
C. Opportunity sharing rule
D. Flow Builder
",D
36,"DreamHouse Realty (DHR) wants a templated process with a mortgage calculator that generates leads for loans, DHR needs to complete the project within 30 days and has maxed out its budget for the year.

Which AppExchange item should help the administrator meet the request?

A. Flow Solutions
B. Lightning Community
C. Bolt Solutions
D. Lightning Data
",C
37,"An administrator at Northern Trail Outfitters is creating a validation rule.

Which two functions should the administrator use when creating a validation rule?

Choose 2 answers

A. Error condition formula
B. Rule active date
C. Error message location
D. Formula return type
","A, C"
38,"Northern Trail Outfitters wants to track ROI for contacts that are key stakeholders for opportunities. The VP of sales requested that this information be accessible on the opportunity and available for reporting.

Which two options should the administrator configure to meet these requirements?

Choose 2 answers

A. Customize Campaign Role.
B. Customize Campaign Member Role.
C. Customize Opportunity Contact Role.
D. Add the Opportunity Contact Role related list to the Opportunity page layout.
E. Add the Campaign Member related list to the Opportunity page layout.
","C,D"
39,"Ursa Major Solar uses Opportunity to track sales of solar energy products. The company has two separate sales teams that focus on different energy markets. The services team also wants to use Opportunity to track installation. All three teams will need to use different fields and stages.

How should the administrator configure this requirement?

A. Create one sales process. Create three record types and three page layouts.
B. Create one sales process. Create one record type and three page layouts.
C. Create three sales processes. Create three record types and one page layout.
D. Create three sales processes. Create three record types and three page layouts.
",D
40,"Northern Trail Outfitters wants to initiate expense reports from Salesforce to the external HR system, This process needs to be reviewed by managers and directors.

Which two tools should an administrator configure?

Choose 2 answers
A. Email Alert Action
B. Approval Process
C. Quick Action
D. Outbound Message
","B, D"
41,"Ursa Major Solar offers amazing experiences for all of its employees. The employee engagement committee wants to post updates while restricting other employees from posting.

What should the administrator create to meet this request?

A. Chatter Recommendations
B. Chatter Broadcast Group
C. Chatter Stream
D. Chatter Unlisted Group
",B
42,"The administrator at Cloud Kicks writes an assignment rule to send all cases created via email or the web to the Automated Cases Queue. Any manually created cases should be owned by the agent creating them; however, the manually created cases now show the administrator as the owner.

What will the administrator find when troubleshooting this issue?

A. An escalation rule is changing the case owner on case creation.
B. The Owner field is missing on the webform and email template.
C. The Assignment Rule checkbox is selected by default.
D. Another assignment rule is giving ownership to the administrator.
",C
43,"An administrator wants to create a form in Salesforce for users to fill out when they lose a client.

Which automation tool supports creating a wizard to accomplish this goal?

A. Process Builder
B. Flow Builder
C. Approval Process
D. Outbound Message
",B
44,"Sales reps miss key fields when filling out an opportunity record through the sales process. Reps need to move forward in stages but are unable to enter a previous stage.

Which three options should the administrator use to address this need?

Choose 3 answers

A. Mark fields required on the page layout.
B. Enable guided selling.
C. Configure Opportunity Path.
D. Use validation rules.
E. Use Flow to mark fields required.
","B, C, D"
45,"The Sales manager at DreamHouse Realty wants the sales users to have a quick way to view and edit the Opportunities in their pipeline expected to close in the next 90 days.

What should an administrator do to accomplish this request?

A. Enable Sales Console and show users how to open a tab for each opportunity in the pipeline that meets the requirements.
B. Create a custom report and schedule the sales users to receive it each day as a reminder to update their opportunities.
C. Make a new Sales dashboard and add a component that shows all opportunities that meet the criteria.
D. Create a list view on the Opportunity object and recommend users switch the view to Kanban to edit by drag and drop.
",D
46,"Universal Container's administrator has been asked to create a many-to-many relationship between two existing custom objects.

Which two steps should the administrator take when enabling the many-to-many relationship?

Choose 2 answers

A. Create URL fields on a custom object.
B. Create a junction with a custom object.
C. Create two master-detail relationships on the new object.
D. Create two lookup relationships on the new object.
","B, C"
47,"A sales rep has left the company and an administrator has been asked to re-assign all their accounts and opportunities to a new sales rep and keep the teams as is.

Which tool should an administrator use to accomplish this?

A. Data Import Wizard
B. Dataloader.io
C. Data Loader
D. Mass Transfer Tool
",D
48,"Which two actions should an administrator perform with Case escalation rules?

Choose 2 answers

A. Re-assign the Case.
B. Change the Case Priority.
C. Re-open the Case.
D. Send email notifications.
","A, D"
49,"DreamHouse Realty regularly holds open houses for the selling of both houses and condominiums. For condominium open houses, there are a few extra steps that need to be taken. Agents need to be able to submit requests and receive approvals from the homeowners' association.

How can the administrator ensure these extra steps only appear when creating open house records for condominiums?

A. Create two page layouts. Use business processes and record types to display the appropriate picklist values.
B. Create one page layout. Use business processes to ensure the proper status picklist values display.
C. Create one page layout. Use record types to ensure the proper status picklist values display.
D. Create two page layouts, one with a House Status field and the other with a Condominium Status field.
",A
50,"Cloud Kicks users are seeing error messages when they use one of their screen flows. The error messages are confusing but could be resolved if the users entered more information on the account before starting the flow.

How should the administrator address this issue?

A. Use a fault connector and display a screen with text explaining what went wrong and how to correct it.
B. Uncheck the End User Flow Errors box In Setup.
C. Create a permission set to allow users to bypass the error.
D. Remove validation rules so that the users are able to proceed without complete records.
",A
51,"Northern Trail Outfitters has a custom quick action on Account that creates a new Case.

How should an administrator make the quick action available on the Salesforce mobile app?

A. Add the Salesforce Mobile and Lightning Experience action to the page layout.
B. Include the action in the Salesforce Mobile Navigation menu.
C. Modify compact Case page layout to include the action.
D. Create a custom Lightning App with the action.
",A
52,"At Universal Containers, there is a custom field on the Lead named Product Category. Management wants this information to be part of the Opportunity upon lead conversion.

What action should the administrator take to satisfy the request?

A. Create a custom field on the Opportunity and map the two fields.
B. Create a workflow to update Opportunity fields based on the lead.
C. Map the lead custom field to the product's product category field.
D. Configure the product categories picklist field on the product.
",A
53,"Cloud Kicks has a screen flow with two questions on the same screen, but only one is necessary at a time. The administrator has been asked to show only the question that is needed.

How should an administrator complete this?

A. Use conditional visibility to hide the unnecessary question.
B. Use a decision element and a new screen to show the proper question.
C. Use branching in the flow screen to show the proper scenario.
D. Use a new version of the flow for each scenario.
",A
54,"An administrator at Ursa Major Solar just learned about the AppExchange and how helpful it can be to the company's business.

Which two actions can be accomplished via the AppExchange?

Choose 2 answers

A. Install industry-specific solution templates.
B. Find certified developers and consultants.
C. Download the Dataloader data tool.
D. Download standard Lightning components.
","A, B"
55,"The support manager at Cloud Kicks wants to respond to customers as quickly as possible. They have requested that the response include the top five troubleshooting tips that could help solve the customer's issue.

What should the administrator suggest to meet these requirements?

A. Email Alerts
B. Auto-Response Rules
C. Knowledge Articles
D. Assignment Rules
",C
56,"Universal Containers has a Contact Lightning record page with a component that shows LinkedIn data. The sales team would like to only show this component to those users who have the Sales User profile when they are on their mobile phones.

Which two solutions should the administrator use to fulfill this requirement?

Choose 2 answers

A. Filter the component visibility with Form Factor = Phone.
B. Filter the component visibility with User > Profile > Name = Sales User.
C. Filter the component visibility with User > Role > Name = Sales User.
D. Filter the component visibility with View = Mobile/Tablet.
","A, B"
57,"Cloud Kicks has the organization-wide defaults for Opportunity set to Private.

Which two features should the administrator use to open up access to opportunity records for sales users working on collaborative deals?

Choose 2 answers

A. Sharing rules
B. Profiles
C. Sharing set
D. Role hierarchy","A, D"
58,"Users at Cloud Kicks are reporting different options when updating a custom picklist on the Opportunity object based on the kind of opportunity.

Where should an administrator update the option in the picklist?

A. Picklist value sets
B. Related lookup filters
C. Fields and relationships
D. Record type
",D
59,"An administrator is planning to use Data Loader to mass import new records to a custom object from a new API.

What will the administrator need to do to use the Data Loader?

A. Append their security token at the end of their password to login.
B. Reset their password and their security token.
C. Add a permission set that allows them to import data.
D. Use the Data Import Tool to mass import custom object records.
",A
60,"An administrator at Universal Containers needs an automated way to delete records based on field values.

What automated solution should the administrator use?

A. Workflow
B. Automation Studio
C. Process Builder
D. Flow Builder
",D
61,"Cloud Kicks (CK) captures whether an opportunity should be reviewed by someone in product engineering with a checkbox fleld called Needs Review. CK also has a picklist field on the opportunity for Product Type. When a sales rep saves an opportunity, they need to select the Product Type or check the Needs Review box.

What should an administrator use to accomplish this?

A. Before Save flow
B. Required fields
C. Workflow rule
D. Validation rule
",D
62,"An administrator at AW Computing has been asked to help the Support team with report folders. 
They want a folder called Support Reports and two folders underneath called Helpdesk and R&D. 
The Support organization uses public groups for Support Agents, R&D, and Managers. 
Support agents should be able to run Helpdesk reports, but should not be able to view R&D reports. Support managers should be able to view and edit all reports.

Which two ways should these folders be shared?

Choose 2 answers

A. Share the Helpdesk folder with Support Agents with View access.
B. Share the Support Reports folder with Support Managers with Edit Access.
C. Share the Support Reports folder with Support Agents with View Access.
D. Share the R&D folder with Support Managers with Edit Access.
","A,D"
63,"AW Computing needs to capture a loss reason in a rich text field when an opportunity is closed lost.

How should an administrator configure this requirement?

A. Select the required checkbox next to the Loss Reason field on the page layout.
B. Configure a workflow rule to display an error if Loss Reason is blank.
C. Create a validation rule to display an error if stage is closed lost and Loss Reason is blank.
D. Check the required checkbox on the Loss Reason field in Object Manager.
",C
64,"Cloud Kicks' executives have noticed the Opportunity Expected Revenue field displays incorrect values.

How should the administrator correct this?

A. Change the probability associated with the stage.
B. Update the expected revenue associated with the stage.
C. Adjust the forecast category associated with the stage.
D. Modify the closed won value associated with the stage.
",A
65,"Northern Trail Outfitters has hired interns to enter Leads into Salesforce and has requested a way to identify these new records from existing Leads .

What approach should an administrator take to meet this requirement?

A. Define a record type and assign it to the interns.
B. Update the active Lead Assignment Rules.
C. Set up Web-to-Lead for the interns' use.
D. Create a separate Lead Lightning App.
",A
66,"What should an administrator use as an identifier when importing and updating records from a separate financial system?

A. Auto-Number field
B. External ID
C. Record ID
D. Rich Text field
",B
67,"An administrator at DreamHouse Realty wants an easier way to assign cases based on agent capacity and skill set.

Which feature should the administrator enable to meet this requirement?

A. Escalation Rules
B. Knowledge Management
C. Territory Management
D. Omni-Channel
",D
68,"Cloud Kicks generates leads for its different product categories (shoes, apparel, and accessories) through many different sources. While some lead sources are used for all three categories, other lead sources are specific to a single category. The VP of marketing requests that only the proper lead sources be displayed based on the product category chosen.

How should the administrator configure Salesforce to meet this requirement?

A. Create business processes and record types for each of the three product categories.
B. Create a single business process, then create record types for each product category.
C. Create a dependency between the Product Category field and Lead Source field.
D. Create a page layout for each category and filter the Lead Source field based on category.
",C
69,"An administrator supporting a global team of Salesforce users has been asked to configure company settings.

Which two options should the administrator configure?

Choose 2 answers

A. Login Hours
B. Currency Locale
C. Default Language
D. Password Policy
","B,C"
70,"Cloud Kicks wants its reports to show a Fiscal Year that starts on February 1 and has 12 months.

How should the administrator address this requirement?

A. Set the Fiscal Year to Standard and the duration to 12 months.
B. Set the Fiscal Year to Standard and the starting month as February.
C. Set the Fiscal Year to Custom and the duration to 4 quarters.
D. Set the Fiscal Year to Custom and the starting month as February.
",B
71,"Cloud Kicks wants to track shoe designs by products. Shoe designs should be unable to be deleted, and there can be multiple designs for one product across various stages.

Which two steps should the administrator configure to meet this requirement?

Choose 2 answers

A. Create a custom object for shoe designs.
B. Use the standard object for designs.
C. Add a custom master-detail field for shoe designs on the Product object.
D. Configure a custom lookup field for shoe designs on the Product object.
"," A, D"
72,"An administrator at Cloud Kicks needs to export a file of closed won opportunities from the last 90 days. The file should include the Opportunity Name, ID, Close Date, and Amount.

How should the administrator export this file?

A. Data Export Wizard
B. Data Export Service
C. Data Loader
D. Data Import Wizard
",C
73,"Cloud Kicks is working on a better way to track its product shipments utilizing Salesforce.

Which field type should an administrator use to capture coordinates?

A. External lookup
B. Geofence
C. Custom address
D. Geolocation
",D
74,"The administrator at Cloud Kicks updated the custom object Event to include a lookup field to the primary contact for the event. When running an event report, they want to reference fields from the associated contact record.

What should the administrator do to pull contact flieds into the custom report?

A. Edit the custom Event report type and add fields related via lookup.
B. Configure formula fields on Event to populate contact information.
C. Use a dashboard with filters to show Event and contact data as requested.
D. Create a new report type with Event as the primary object and Contact as a related object.
",A
75,"Universal Containers wants to provide reseller partners with discounted prices on the products they purchase.

How should an administrator configure this requirement?

A. Create a separate PriceBook for reseller partners.
B. Build separate reseller partner products.
C. Use a different Opportunity record type.
D. Add a Partner_Discount__c field to the Opportunity.
",A
76,"An administrator at DreamHouse Realty needs to create customized pages for the Salesforce mobile app.

Which two types of pages could an administrator build and customize using the Lightning App Builder?

Choose 2 answers

A. Dashboard page
B. Record page
C. User page
D. App page
","B, D"
77,"Cloud Kicks (CK) is partnering with a used shoe store and second-hand bicycle emporium. CK has an automated business process it wants to run once a week to count the number of open cases related to an account.

How should the administrator recommend automating this business process?

A. Create a workflow rule with an outbound message.
B. Set up a scheduled process in Process Builder.
C. Configure a scheduled flow in Flow Builder.
D. Use a process to update the account when it is edited.
",C
78,"Ursa Major Solar wants to assist users with a guided expense report process to simplify submissions, routing, and authorizations.

Which two tools should an administrator use to build this solution?

Choose 2 answers

A. Quick Action
B. Approval Process
C. Validation Rule
D. Flow Builder
","B, D"
79,"What are three settings an administrator should configure to make it easy for approvers to respond to approval requests?

Choose 3 answers

A. Specify initial submission actions within the approval process.
B. Update the organization's Chatter settings to allow approvals.
C. Enable the organization's email approval response setting.
D. Create a flow to automatically approve all records.
E. Add the Items to Approve component to the approvers' home page.
","B, C, E"
80,"The administrator at Ursa Major Solar has been asked to change the Work Item and Project custom object relationship from a master-detall to a lookup.

Which scenario would prevent the administrator from fulfilling this requirement?

A. Roll-up summary fields exist on the master object.
B. The lookup field in all the records contains a value.
C. The lookup field is required for saving records.
D. A junction object is required to support the lookup.
",A
