,,
81,"Cloud Kicks (CK) needs a new sales application. The administrator thinks there is an application package on the AppExchange and wants to begin testing it in a sandbox to see if it addresses CK's needs.

What are two considerations when installing a managed package in a sandbox?

Choose 2 answers

A. Install for Admins Only will be the only install option available.
B. Any metadata changes to the package have to be replicated in production.
C. The installation link has to be modified to test.salesforce.com .
D. The package will be removed any time the sandbox is refreshed.
","C, D"
82,"Cloud Kicks needs to be able to show different picklist values for sales and marketing users.

Which two options will meet this requirement?

Choose 2 answers

A. Two permission sets, one record type, one picklist
B. Two page layouts, one record type, two plcklists
C. One page layout, two record types, one picklist
D. One record type, two profiles, one picklist
","C, D"
83,"When a sales rep clicks a button on an opportunity, a simple discount calculator screen should be launched.

Which automation tool should an administrator use to build this discount calculator screen?

A. Platform Event
B. Flow Builder
C. Process Builder
D. Workflow Rule
",B
84,"Executives at Cloud Kicks have reported that their dashboards are showing inaccurate data. The administrator has discovered that users have been changing the source reports.

Which two actions should the administrator take to preserve the integrity of the source reports?

Choose 2 answers

A. Change the dashboard to be a dynamic dashboard.
B. Move the dashboard reports to the view-only folder.
C. Create a new report folder with viewer access.
D. Move the dashboard to the user's private folder.
","B, C"
85,"Universal Containers has two sales teams, sales team A and sales team B. Each team has their own role in the role hierarchy. Both roles are subordinates of the same Manager role.

How should the administrator share records owned by sales team A with sales team B?

A. Owner-based sharing
B. Criteria-based sharing
C. Hierarchical sharing
D. User manual sharing
",A
86,"Northern Trail Outfitters uses a custom object Invoice to collect customer payment information from an external billing system. The Billing System field needs to be filled in on every Invoice record.

How should an administrator ensure this requirement?

A. Make the field universally required.
B. Create a Process Builder to set the field.
C. Require the field on the record type.
D. Define an approval process for the field.
",A
87,"A user at Cloud Kicks is having issues logging in to Salesforce. The user asks the administrator to reset their password.

Which two options should the administrator consider when resetting the user's password?

Choose 2 answers

A. Resetting the password will change the user's password policy.
B. After resetting a password, the user may be required to activate their device to successfully log in to Salesforce.
C. Resetting a locked-out user's password automatically unlocks the user's account.
D. Single sign-on users can reset their own passwords using the forgot password link.
","B, C"
88,"The client services and customer support teams share the same profile but have different permission sets. The custom object Retention related list needs to be restricted to the client services team on the Lightning record page layout.

What should the administrator use to fulfill this request?

A. Record Type Assignment
B. Page Layout Assignment
C. Sharing Settings
D. Component Visibility
",D
89,"The events manager at DreamHouse Realty has a hot lead from a successful open house that needs to become a Contact with an assoclated Opportunity.

How should this be accomplished from the Campaign keeping the associated Campaign Member history?

A. Convert the lead from the Campaign Member Detail page.
B. Delete the lead and create a new Contact and Opportunity.
C. Add a Contact from the Campaign Member Detail page.
D. Clone the lead and convert the cloned record to a Contact.
",A
90,"Sales users at Universal Containers are reporting that it is taking a long time to edit opportunity records. Normally, the only field they are editing is the Stage field.

Which two options should the administrator recommend to help simplify the process?

Choose 2 answers

A. Configure an autolaunched flow for Opportunity editing.
B. Create a simplified Opportunity page layout.
C. Add a Path for stage to the opportunity record page.
D. Use a Kanban list view for Opportunity.
","B, D"
91,"Universal Containers is trying to improve the user experience when searching for the right status on a case. The company currently has one support process that is used for all record types on cases. The support process has 10 status values. Service reps say they never need more than five depending on what kind of case they are working on.

How should the administrator improve on the current implementation?

A. Review which status choices are needed for each record type and create support processes for each that is necessary.
B. Create a Screen Flow that shows only the correct values for status and surface the flow in the utility bar of the console.
C. Edit the status choices directly on the record type.
D. Reduce the number of case status values to five.
",A
92,"Which two solutions could an administrator find on the AppExchange to enhance their organization?

Choose 2 answers

A. Components
B. Consultants
C. Communities
D. Customers
","A, B"
93,"The Human Resources department at Northern Trail Outfitters wants employees to provide feedback about their managers using a custom object in Salesforce. It is important that managers are unable to see the feedback records from their staff.

How should an administrator configure the custom object to meet this requirement?

A. Define a criteria-based sharing rule.
B. Configure an owner-based sharing rule.
C. Uncheck Grant Access Using Hierarchies.
D. Set the Default External Access to Private.
",C
94,"Cloud Kicks wants users to only be able to choose Opportunity stage closed won if the Lead source has been selected.

How should the administrator accomplish this goal?

A. Configure a validation rule requiring Lead source when the stage is set to closed won.
B. Change the Opportunity stage field to read only on the page layout.
C. Modify the Opportunity stage a dependent picklist to the Lead source field.
D. Make Lead source a dependent picklist to the Opportunity stage field.
",A
95,"Users at Cloud Kicks want to be able to create a task that will repeat every two weeks.

What should an administrator do to meet this requirement?

A. Workflow rule to create recurring tasks
B. Flow to create recurring tasks
C. Enable Creation of Recurring Tasks
D. Turn on Recurring Activities
",C
96,"Northern Trail Outfitters has two different sales processes: one for business opportunities with four stages and one for partner opportunities with eight stages. Both processes will vary in page layouts and picklist value options.

What should an administrator configure to meet these requirements?

A. Validation rules that ensure that users are entering accurate sales stage information
B. Separate record types and sales processes for the different types of opportunities
C. Public groups to limit record types and sales processes for opportunities
D. Different page layouts that control the picklist values for the opportunity types
",B
97,"AW Computing wants to prevent users from updating the Account Annual Revenue field to be a negative value or an amount more than $100 billion.

How should an administrator accomplish this request?

A. Enable Account Revenue limits in Setup, with 0 as the minimum and 100 billion as the maximum.
B. Build a scheduled report displaying Accounts with Account Revenue that is negative or greater than 100 billion.
C. Create a validation rule that displays an error if Account Revenue is below 0 or greater than 100 billion.
D. Make the Account Revenue field required on the page layout.
",C
98,"The administrator at Cloud Kicks has a custom picklist field on Lead, which is missing on the Contact when leads are converted.

Which two items should the administrator do to make sure these values are populated?

Choose 2 answers

A. Map the picklist field on the Lead to the Contact.
B. Create a custom picklist field on Contact.
C. Set the picklist field to be required on the Lead object.
D. Update the picklist value with a validation rule.
","A, B"
99,"An administrator at Universal Containers has been asked to prevent users from accessing Salesforce from outside of their network.

What are two considerations for this configuration?

Choose 2 answers

A. Enforce Login IP Ranges on Every Request must be selected to enforce IP restrictions.
B. Restrict U2F Security Keys on the user's profile to enforce login hours.
C. Assign single sign-on to a permission set to allow users to log in when outside the network.
D. IP address restrictions are set on the profile for the org.
","A, D"
100,"Support agents at Cloud Kicks are spending too much time finding resources to solve customer cases. The agents need a more efficient way to find documentation and similar cases from the Case page layout.

How should an administrator meet this requirement?

A. Configure Knowledge with articles and data categories.
B. Direct users to Global Search to look for similar cases.
C. Use an interview flow to capture Case details.
D. Create a custom object to capture popular Case resolutions.
",A
101,"Cloud Kicks has a custom object called Shipments. The company wants to see all the shipment Items from an Account page. When an Account is deleted, the shipments should remain.

What type of relationship should the administrator make between Shipments and Accounts?

A. Accounts should have a lookup to Shipments.
B. Shipments should have a master detail to Accounts.
C. Accounts should have a master detail to Shipments.
D. Shipments should have a lookup to Account.
",D
102,"Universal Containers wants te prevent its service team from accessing deal records. While service users are unable to access deal list views, they are able to find deal records via a search.

What option should the administrator adjust to fully restrict access?

A. Record settings and search index
B. Page layouts and field-level security
C. Permissions and the visibility
D. App permissions and search terms
",A
103,"Users have noticed that when they click on a report in a dashboard to view the report details, the values in the report are different from the values displayed on the dashboard.

What are the two reasons this is likely to occur?

Choose 2 answers

A. The dashboard needs to be refreshed.
B. The report needs to be refreshed.
C. The running dashboard user and viewer have different permissions.
D. The current user does not have access to the report folder.
","A, C"
104,"The administrator at Cloud Kicks has been asked to change the company's Shoe Style field to prevent users from selecting more than one style on a record.

Which two steps should an administrator do to accomplish this?

Choose 2 answers

A. Change the field type from a multi-select picklist field to a picklist field.
B. Select the ""Choose only one value"" checkbox on the picklist field.
C. Reactivate the appropriate Shoe Style values after the field type changes.
D. Back-up the Shoe Style values in existing records.
","A, D"
105,"The administrator at Universal Containers has a screen flow that helps users create new leads. When Lead Source is ""Search Engine"", the administrator needs to require the user to choose a specific search engine from a picklist. If Lead Source is not ""Search Engine"", this picklist should be hidden.

How should the administrator complete this requirement?

A. Create a picklist for Specific Search Engine, and set conditional visibility so that it is only shown when Lead Source is ""Search Engine"".
B. Assign a decision element to direct the user to a second screen to hold Specific Search Engine only when Lead Source is ""Search Engine"".
C. Use an assignment element, one for when Lead Source is ""Search Engine"" and one for everything else.
D. Configure a picklist for Specific Search Engine, and use a validation rule to conditionally show only when Lead Source is ""Search Engine"".
",A
106,"Universal Containers introduced a new product and wants to track all associated cases that get logged. They are looking for an automated solution that would give the product's two lead engineers read/write access to all new cases that reference the new product.

What should an administrator do to satisfy this requirement?

A. Create a user-based sharing rule and an ad-hoc case team.
B. Create a queue and a criteria-based sharing rule.
C. Create an auto-response rule and a public group.
D. Create a predefined case team and an assignment rule.
",D
107,"Universal Containers requires that when an opportunity is closed won, all other open opportunities on the same account must be marked as closed lost.

Which automation solution should an administrator use to implement this request?

A. Workflow Rule
B. Outbound Message
C. Quick Action
D. Flow Builder
",D
108,"An administrator is building a Lightning app and sees a message that a My Domain must be set up first.

What should the administrator take into consideration when enabling My Domain?

A. The URL instance for a My Domain stays the same for every release.
B. Single sign-on must be disabled prior to implementing My Domain.
C. A deployed My Domain is irreversible and renaming is unavailable.
D. The login for all internal and external users changes to the My Domain login.
",D
109,"An administrator at Cloud Kicks has a flow in production that is supposed to create new records. However, no new records are being created.

What could the issue be?

A. The flow is read only.
B. The flow url is deactivated.
C. The flow is inactive.
D. The flow trigger is missing.
",C
110,"AW Computing (AWC) occasionally works with Independent contractors, who the company stores as Contacts in Salesforce. Contractors often change agencies, and AWC wants to maintain the historical accuracy of the record.

What should AWC use to track Contacts?

A. Enable Contacts to multiple Accounts.
B. Use a partner community to track the Contacts.
C. Create a new Contact record for each agency.
D. Create a junction object to track many-to-many relationship.
",A
111,"Sales reps at Northern Trail Outfitters have asked for a way to change the Probability field value of their Opportunities.

What should an administrator suggest to meet this request?

A. Make the field editable on page layouts.
B. Configure Forecasting support.
C. Define a new Stage picklist value.
D. Create a custom field on Opportunity.
",A
112,"An administrator at Cloud Kicks is building a flow that needs to search for records that meet certain conditions and store values from those records in variables for use later in the flow.

What flow element should the administrator add?

A. Create Records
B. Assignment
C. Update Records
D. Get Records
",D
113,"The service manager at Ursa Major Solar wants to let customers know that they have recelved their cases via emall and their website. Medium-priority and high-priority cases should receive different email notifications than low-priority cases. The administrator has created three email templates for this purpose.

How should an administrator configure this requirement?

A. Create one auto-response rule, Configure three rule entry criteria and set a filter for case priority, Select the appropriate email template for each rule entry.
B. Configure one workflow rule that fires when cases are created. Add a filter for case priority, Select the appropriate email template for the rule.
C. Add three auto-response rules, Configure one rule entry criteria for each rule and set a filter for case priority, Select the appropriate email template for each rule entry.
D. Include three assignment rules that fire when cases are created. Add a filter for case priority, Select the appropriate email template for each rule.",A
114,"The VP of sales at Cloud Kicks is receiving an error message that prevents them from saving an opportunity. The administrator attempted the same edit without receiving an error.

How can the administrator validate the error the user is receiving?

A. Edit the page layout.
B. Review the sharing model.
C. View the setup audit trail.
D. Log in as the user.
",D
115,"The administrator has created new users for ten new employees at Northern Trail Outfitters.

Why are these users unable to access the account object in the Salesforce org?

A. Users' profile requires permission to the Account object.
B. Users' roles are low on the role hierarchy.
C. Organization-wide defaults are set to private.
D. Users' profile requires a sharing rule for Accounts.
",A
116,"The sales director at Cloud Kicks wants to be able to predict upcoming revenue in the next several fiscal quarters so they can set goals and benchmark how reps are performing.

Which two features should the administrator configure?

Choose 2 answers

A. Forecasting
B. Sales Quotas
C. Opportunity Stages
D. Opportunity List View
","A, B"
117,"The CTO of AW Computing has defined a new policy for cases to improve customer satisfaction. All cases submitted with a Case Reason of Installation must be acknowledged immediately via email and assigned to the appropriate agents. Any cases that are still in the New status after 4 hours must be escalated to support management.

What case management tools need to be utilized for this requirement?

A. Auto-response rules, Queues, Escalation Rules
B. Auto-response rules, Macros, Entitlements
C. Auto-response rules, Queues, Macros
D. Auto-response rules, Entitlements, Escalation Rules
",A
118,"At Cloud Kicks, sales reps use discounts on the opportunity record to help win sales on particular products. When an opportunity is won, they then have to manually apply the discount to the related opportunity products. The sales manager has asked if there is a way to automate this time-consuming task.

What should the administrator use to deliver this requirement?

A. Prebuilt Macro
B. Approval Process
C. Flow Builder
D. Formula Field
",C
119,"What are three characteristics of a master-detail relationship?

Choose 3 answers

A. Permissions for the detail record are set independently of the master.
B. Roll-up summaries are supported in master-detail relationships.
C. The master object can be a standard or custom object.
D. Each object can have up to five master-detail relationships.
E. The owner field on the detail records is the owner of the master record.
","B, C, E"
120,"The administrator at Cloud Kicks has created an approval process for time off requests.

Which two automated actions are available to be added as part of the approval process?

Choose 2 answers

A. Autolaunched How
B. Field Update
C. Chatter Post
D. Email Alert
","B, D"
121,"Sales users at Cloud Kicks are requesting that the data in the Industry field on the Account object displays on the Opportunity page layout.

Which type of field should an administrator create to accomplish this?

A. Standard Account field
B. Custom Account field
C. Master-detail relationship field
D. Cross-object formula field
",D
122,"The administrator at Northern Trail Outfitters has been using a spreadsheet to track assigned licenses and permission sets.

What feature can be used to track this in Salesforce?

A. Lightning Usage App
B. Permission Set Groups
C. User Report
D. Login History
",C
123,"The administrator for Cloud Kicks has created a screen flow to help service reps ask the same set of questions when customers call in with issues. This screen should be visible from cases.

How should the screen flow be distributed?

A. Page Layout
B. Home Page
C. Lightning Page
D. Component Filter
",C
124,"The IT manager at Universal Containers is doing an audit of the system's security.

How should the administrator provide a summary of the org's security health?

A. Turn on Event Monitoring to track user events.
B. Download the last six months of user login data.
C. Run a Health Check to identify vulnerabilities.
D. Change the Organization-Wide Default to private to restrict visibility.
",C
125,"Northern Trail Outfitters wants to use Contact Hierarchy in its org to display Contact association.

What should the administrator take into consideration regarding the Contact Hierarchy?

A. Contacts displayed in the Contact Hierarchy are limited to record-level access by user.
B. Customizing hierarchy columns changes the Recently Viewed Contacts list view.
C. Sharing settings are ignored by contacts displayed in the Contact Hierarchy.
D. Contact Hierarchy is limited to only display 3,000 contacts at one time.
",A
126,"When users log in to Salesforce via the user interface, which two settings does the system check for authentication?

Choose 2 answers

A. The user's profile login hours restrictions
B. The user's Two-Factor Authentication for User Interface Logins permission
C. The user's Two-Factor Authentication for API Logins permission
D. The role IP address restrictions
","A, B"
127,"An administrator installed a managed package that contains a permission set group. The permission set group that was installed includes Delete actress an several objects, and the administrator needs to prevent users in the permission set group from being able to delete records.

What should the administrator do to control Delete access?

A. Create a new permission set that has Delete access deselected for the objects.
B. Use a muting permission set with a permission set group to mute selected permissions.
C. Create a new role that prevents Delete permissions from rolling up to the users.
D. Edit the profile for the users to remove Delete access from the objects.
",B
128,"Brokers at DreamHouse Realty need to see certain information about one or more cases when referencing the contact record, This includes: Case Name, Case ID, Customer Name, Case Reason, Case Status, and Case Creation Date.

Which two changes in Setup should the administrator make?

Choose 2 answers

A. Use the page layout editor to include the appropriate columns in the Cases related list.
B. Use the page layout editor to change the related list type to Enhanced List.
C. Edit the Related List component in the Lightning App Builder and choose Related List as the related list type.
D. Edit the Related List component in the Lightning App Builder and choose Enhanced List as the related list type.
","A, D"
129,"The administrator at Cloud Kicks deleted a custom field but realized that is it part of the lead conversion process.

What should an administrator take into consideration when undeleting the field?

A. The field mapping needs to be re-mapped.
B. The field needs to be restored in the search settings.
C. The field history will remain deleted.
D. The field needs to be re-added to reports.
",A
130,"Sales managers would like to know what could be implemented to surface important values based on the stage of the opportunity.

Which tool should an administrator use to meet this requirement?

A. Dynamic Forms
B. Opportunity Processes
C. Workflow Rules
D. Path Key Fields
",D
131,"Universal Containers has enabled Data Protection and Privacy for its org.

Which page layouts will have the Individual field available for tracking data privacy information?

A. Individual, User, and Account
B. Case and Opportunity
C. Account and User
D. Contact, Lead, and Person Account
",D
132,"Ursa Major Solar is noticing a decrease in deals with a cross-sell opportunity type and want to share all cross-sell opportunities with a team of subject matter experts in their organization, The company has different roles, and the organization-wide default for Opportunity is set to Private.

How should the administrator accomplish this?

A. Change the organization-wide default for Opportunity from Private to Public Read/Write to open up access for the subject matter experts.
B. Enable territory management, assign the subject matter experts to the same territory, and give them access to the records with manual sharing.
C. Add the subject matter experts to a public group and give them access to the records with a criteria-based sharing rule.
D. Create a new role for the subject matter experts and give them access to the records with an owner-based sharing rule.
",C
133,"Ursa Major Solar has its business hours set from 9:00 AM to 5:00 PM for the reps that are on Pacific Time. The reps on Eastern Time need business hours set to start 3 hours earlier to cover for support.

How should an administrator solve for this issue?

A. Allow the reps to set business hours manually.
B. Adjust the current business hours to accommodate the Eastern Time Zone.
C. Create one set of business hours per time zone.
D. Set temporary business hours for each time zone.
",C
134,"AW Computing has six sales teams in a region, These teams always consist of the same account manager, engineer and assistant.

What should the administrator configure to make it easier for teams to collaborate with the same customer?

A. Enable and configure standard opportunity teams with splits.
B. Enable account teams and show the users how to set up a default account team,
C. Create a queue for each team and assign account ownership to the queue.
D. Propose the users manually share all their accounts with their teammates.
",B
135,"Cloud Kicks wants to give credit to Opportunity team members based on the level of effort contributed by each person toward each deal.

What feature should the administrator use to meet this requirement?

A. Queues
B. List Views
C. Splits
D. Stages
 ",C
136,"Once an opportunity reaches the negotiation stage at Cloud Kicks, the Amount field becomes required for sales users. Sales managers need to be able to move opportunities into this stage without knowing the amount.

How should the administrator require this field during the negotiation stage for sales users but allow their managers to make changes?

A. Assign the Administrator profile to the managers.
B. Create a formula field to fill in the field for managers.
C. Configure a validation rule to meet the criteria.
D. Make the field required for all users.
",C
137,"Customer service accesses articles with the Knowledge Lightning component on the Service Cloud console. Billing department users would like similar functionality on the case record without using the console.

How should the administrator configure this request?

A. Add the Knowledge related list to the page layout.
B. Add the Knowledge component to the record page.
C. Add the Knowledge related list to the record page.
D. Add the Knowledge component to the page layout.
",B
138,"A user at Northern Trail Outfitters is having trouble logging into Salesforce, The users login history shows that this person has attempted to log in multiple times and has been locked out of the organization.

Which two ways should the administrator help the user log into Salesforce?

Choose 2 answers

A. Log in as the user to unlock the user and reset the password.
B. Use the unlock button on the user's record detail page.
C. Reset password on the user's record detail page.
D. Reset the password policies to allow the user to login.
","B, C"
139,"Which two objects are customizable the Stage Setup Flow?

Choose 2 answers

A. Campaigns
B. Opportunities
C. Campaign Members
D. Leads
","B, D"
140,"An administrator has assigned a permission set group with the two-factor authentication for User Interface Logins permission and the two-factor authentication for API Logins permission to a group of users.

Which two prompts will happen when one of the users attempts to log in to Data Loader?

Choose 2 answers

A. Users need to enter a verification code from email or SMS, whichever has higher priority.
B. Users need to connect an authenticator app to their Salesforce account.
C. Users need to download and install an authenticator app on their mobile device.
D. Users need to get a security token from a trusted network using Reset My Security Token.
","B, C"
141,"Sales reps at Ursa Major Solar are having difficulty managing deals. The leadership team has asked the administrator to help sales reps prioritize and close more deals.

What should the administrator configure to help with these issues?

A. Einstein Opportunity Scoring
B. Einstein Lead Scoring
C. Einstein Search Personalization
D. Einstein Activity Capture
",A
142,"Cloud Kicks wants a report to categorize accounts into small, medium, and large based on the dollar value found in the Contract Value field.

What feature should an administrator use to meet this request?

A. Detail Column
B. Group Rows
C. Filter Logic
D. Bucket Column
",D
143,"Universal Containers created a new job posting on the first of the month. It triggered a process scheduled action that will send a Chatter post to the department VP in 30 days it the position is still open and the status is not equal to Interviewing. On the 10th of the month, an applicant interviews, and the job posting status is updated to Interviewing.

What will happen to the Chatter post in this situation?

A. The pending Chatter post will be will be paused.
B. The pending Chatter post will be sent on the 10th of the month.
C. The pending Chatter post will be canceled.
D. The pending Chatter post will be sent in 30 days.
",C
144,"Northern Trail Outfitters has a new flow that automatically sets field values when a new account is created. The flow is launched by a process, but the Flow is not working properly.

What should the administrator do to identify the problem?

A. Use the native debug feature in the How Builder.
B. View the setup audit trail and review for errors.
C. Set up email logs and review the send error logs.
D. Review debug logs with the flow logging level.
",D
145,"DreamHouse Realty requires that house showings he scheduled within the current year to prevent too many future showings from stacking up.

How can they make sure Showing Date is only populated with a date this year?

A. Create a report that shows any Showing Dates not scheduled in the current year to be updated.
B. Sync the users Showing Calendar to Salesforce and filter it to only look at this year.
C. Create a validation rule that ensures Showing Date contains a date within the current year.
D. Add Help Text so the user knows to only add a Showing Date within the current year.
",C
146,"The business development team at Cloud Kicks thinks the Account creation process has too many fields to fill out and the page feels cluttered. They have requested the administrator to simplify the process.

Which automation tool should an administrator use?

A. Validation Rule
B. Flow Builder
C. Approval Process
D. Workflow Rule
",B
147,"A team of support users at Cloud Kicks is helping inside sales reps make follow-up calls to prospects that filled out an interest form online. The team currently does not have access to the lead object.

How should an administrator provide proper access?

A. Configure permission sets
B. Create a new profile
C. Set up Manual sharing
D. Assign a new role
",A
148,"Cloud Kicks wants to try out an app from the AppExchange to ensure that the app meets its needs.

Which two options should the administrator suggest?

Choose 2 answers

A. Check edition compatibility.
B. Test Drive in a production arg.
C. Download into a Trailhead Playground.
D. Install in a sandbox.
","C, D"
149,"The administrator at Ursa Major Solar imported records into an object by mistake. 

Which two tools should be used to undo this import?

Choose 2 answers

A. Data Loader
B. Weekly Data Export
C. Mass Delete Records
D. Data Import Wizard

","A, C"
150,"Universal Containers requires a different lightning page to be displayed when Accounts are viewed in the Sales Console and in the Service Console.

How should an administrator meet this requirement?

A. Create different user profiles.
B. Define multiple record types.
C. Assign Lightning pages as app default.
D. Update page layout assignments.
",C
151,"Northern Trail Outfitters wants to encourage employees to choose secure and appropriate passwords for their Salestorce accounts.

Which three password policies should an administrator configure?

Choose 3 answers

A. Require use of Password Manager App
B. Password complexity requirements
C. Number of days until expiration
D. Prohibited password values
E. Maximum invalid login attempts
","B, C, D"
152,"Users at Cloud Kicks want to see information more useful for their role on the Case page.

How should an administrator make the pages more dynamic and easier to use?

A. Include more tab components with filters.
B. Remove fields from the record details component.
C. Add component visibility filters to the components.
D. Delete the extra components from the page.
",C
153,"The VP of sales at DreamHouse Realty has requested a dashboard to visualize enterprise sales accross the different teams, The key piece of data is the total of all sales for the year and the progress to the enterprise sales goal.

What dashboard component will effectively show this number and the proximity to the total goal as a single value?

A. Gauge
B. Donut
C. Table
D. Stacked Bar
",A
154,"AW Computing would like to improve its Case Lightning record page by including:
  - A filtered component to display a message in bold font when a Case is saved as a critical record type.
  - A quick way to update the Account status from the Case layout.

Which two components should an administrator use to satisfy these requests?

Choose 2 answers

A. Related list
B. Rich text
C. Related record
D. Record detail
","B, C"
155,"The administrator at Ursa Major Solar needs to make sure that unassigned cases from VIP customers get transferred to the appropriate service representative within 5 hours. VIP customers have access to support 24 hours a day.

How should this be configured?

A. Case Queues
B. Assignment Rules
C. Escalation Rules
D. Business Hours
",C
156,"Cloud Kicks intends to protect data with backups by using the data export service.

Which two considerations should the administrator remember when scheduling the export?

Choose 2 answers

A. Metadata backups must be run via a separate process.
B. Metadata backups are limited to sandbox refresh intervals.
C. Data export service should be run from a sandbox.
D. Data backups are limited to weekly or monthly intervals.
","A, D"
157,"Universal Containers has three separate lines of business, Each line has specific fields that must he displayed to users. However, the fields needed by the sales team are different than the fields needed hy the service team.

How should the administrator configure this requirement?

A. Create one record type with six Page Layouts.
B. Create six record types, each with 1 page layout.
C. Create three record types, each with 2 page layouts.
D. Create two record types, each with 3 page layouts.
",C
158,"The administrator has been asked to automate a simple field update on the account, When a support agent changes the status of the account to 'Audited', they would like the system to automatically update the Audited Date field on the account with today's date.

Which tool should the administrator use to complete this automation?

A. Approval Process
B. Validation Rule
C. Formula Field
D. Flow Builder
",D
159,"The marketing director at Northern Trail Outfitters has requested that the Budget field is populated in order for the Lead Status field to be marked as qualified.

What tool should the administrator use to fulfill this request?

A. Workflow Rule
B. Lead Conversion
C. Validation Rule
D. Require Field
",C